Q39838183	P1476	"Interaction of abscisic acid & indole acetic acid on transcription"
Q39864361	P1476	"Consultants & long-range planning--planning groups fight for members; AHA joins fray"
Q39863760	P1476	"Effect of apholate (NSC 26812; ENT 26316) on the nucleic acids & protein content in the spleen of male albino rats"
Q40114066	P1476	"Development of Systemic Lupus Erythematosus Following Interferon-α Therapy for Hepatitis C Infection."
Q40846188	P1476	"Polyphenolic Composition and Evaluation of Antioxidant Activity, Osmotic Fragility and Cytotoxic Effects of Raphiodon echinus (Nees & Mart.) Schauer"
Q42019463	P1476	"The ionotropic γ-aminobutyric acid receptor gene family of the silkworm, Bombyx mori."
Q42293894	P1476	"A new species of Neopronematus and a re-description of Pronematus rykei Meyer & Rodrigues (Acari: Iolinidae) from Iran."
Q42293980	P1476	"First finding of the shrimp genus Harperalpheus Felder & Anker, 2007 in the eastern Pacific, with description of a new species from Bahía Málaga, Colombia (Malacostraca: Decapoda: Alpheidae)."
Q42295444	P1476	"New records of deep-sea shrimps of family Solenoceridae Wood-Mason & Alcock, 1891 (Crustacea: Decapoda: Dendrobranchiata) from Southwestern Atlantic."
Q42293969	P1476	"Two new species of the genus Leeonychiurus Sun & Arbea, 2014 (Collembola: Onychiuridae) from Korea."
Q42661916	P1476	"Preparation, Molecular and Electronic Structures, and Magnetic Properties of Face-Sharing Bioctahedral Titanium(III) Compounds: [PPh(4)][Ti(2)(&mgr;-Cl)(3)Cl(4)(PR(3))(2)]."
Q42681393	P1476	"Characterization of ω-secalin genes from rye, triticale, and a wheat 1BL/1RS translocation line."
Q46055145	P1476	"Profile of Tuberculosis among Foreign-born Asians Residing in Los Angeles County, California, 1985­1994."
Q46239496	P1476	"Validation of Tethya samaaii Ribeiro & Muricy, 2011, replacement name for the sponge Tethya rubra Samaai & Gibbons, 2005 (Demospongiae, Tethyida, Tethyidae)."
Q46429784	P1476	"Dinuclear and Hexanuclear Iron(III) Oxide Complexes with a Bis(bipyridine) Ligand: A New [Fe(6)(&mgr;(3)-O)(4)](10+) Core."
Q46441569	P1476	"Erratum: GIULIA FURFARO, BERNARD PICTON, ALEXANDER MARTYNOV & PAOLO MARIOTTINI (2016) Diaphorodoris alba Portmann & Sandmeier, 1960 is a valid species: molecular and morphological comparison with D. luteocincta (M. Sars,"
